history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2012-05-12;Индекс МосБиржи;Индекс МосБиржи;1385,81;1392;1392,82;1372,82;8475797461;;;2;4830446682494,3;RUB;
SNDX;IMOEX;2012-05-11;Индекс МосБиржи;Индекс МосБиржи;1392;1408,31;1409,22;1373,35;38007364530;;;2;4852030532412,44;RUB;
SNDX;IMOEX;2012-05-10;Индекс МосБиржи;Индекс МосБиржи;1408,31;1384,02;1418,11;1381,66;43668958339;;;2;4908879645009,96;RUB;
SNDX;IMOEX;2012-05-08;Индекс МосБиржи;Индекс МосБиржи;1384,02;1385,14;1399,58;1371,2;23998970651;;;2;4824208666688,1;RUB;
SNDX;IMOEX;2012-05-07;Индекс МосБиржи;Индекс МосБиржи;1385,14;1386,41;1393,1;1350,14;20379422160;;;2;4828096037143,81;RUB;
SNDX;IMOEX;2012-05-05;Индекс МосБиржи;Индекс МосБиржи;1386,41;1391,14;1392,55;1381,25;9224151807;;;2;4832539854266,19;RUB;
SNDX;IMOEX;2012-05-04;Индекс МосБиржи;Индекс МосБиржи;1391,14;1442,73;1442,92;1385,75;48246072903;;;2;4849031588777,95;RUB;
SNDX;IMOEX;2012-05-03;Индекс МосБиржи;Индекс МосБиржи;1442,71;1446,04;1456,54;1437,19;31361723389;;;2;5028774477061,14;RUB;
SNDX;IMOEX;2012-05-02;Индекс МосБиржи;Индекс МосБиржи;1446,04;1473,5;1489,92;1445,69;36362109468;;;2;5040367427375,07;RUB;
SNDX;IMOEX;2012-04-28;Индекс МосБиржи;Индекс МосБиржи;1473,5;1469,65;1474,35;1468,36;6788417446;;;2;5136069097818,93;RUB;
SNDX;IMOEX;2012-04-27;Индекс МосБиржи;Индекс МосБиржи;1469,65;1447,06;1469,87;1439,92;37361054686;;;2;5122646194772,86;RUB;
SNDX;IMOEX;2012-04-26;Индекс МосБиржи;Индекс МосБиржи;1447,06;1461,85;1467,17;1440,8;32817093575;;;2;5043919804168,41;RUB;
SNDX;IMOEX;2012-04-25;Индекс МосБиржи;Индекс МосБиржи;1461,85;1457,42;1470,2;1457,14;29679781916;;;2;5095470392958,37;RUB;
SNDX;IMOEX;2012-04-24;Индекс МосБиржи;Индекс МосБиржи;1457,4;1466,27;1472,13;1445,8;36069824273;;;2;5070959952876,97;RUB;
SNDX;IMOEX;2012-04-23;Индекс МосБиржи;Индекс МосБиржи;1466,34;1505,1;1505,14;1462,75;37386217719;;;2;5102079632122,61;RUB;
SNDX;IMOEX;2012-04-20;Индекс МосБиржи;Индекс МосБиржи;1505,1;1496,6;1506,82;1485,13;36868073179;;;2;5236950741843,93;RUB;
SNDX;IMOEX;2012-04-19;Индекс МосБиржи;Индекс МосБиржи;1496,6;1468,55;1503,77;1467,21;49734922245;;;2;5207373896260,87;RUB;
SNDX;IMOEX;2012-04-18;Индекс МосБиржи;Индекс МосБиржи;1468,55;1471,61;1485,61;1465,47;36087306205;;;2;5109772863109,23;RUB;
SNDX;IMOEX;2012-04-17;Индекс МосБиржи;Индекс МосБиржи;1471,61;1477,75;1481,25;1463,02;49187076314;;;2;5120425698513,06;RUB;
SNDX;IMOEX;2012-04-16;Индекс МосБиржи;Индекс МосБиржи;1477,71;1502,67;1505,56;1475,48;47075366558;;;2;5141661425994,35;RUB;
SNDX;IMOEX;2012-04-13;Индекс МосБиржи;Индекс МосБиржи;1502,65;1501,63;1516,41;1496,89;46577474791;;;2;5228426632317,48;RUB;
SNDX;IMOEX;2012-04-12;Индекс МосБиржи;Индекс МосБиржи;1501,63;1505,77;1512,46;1488,8;44731635017;;;2;5224869687759,54;RUB;
SNDX;IMOEX;2012-04-11;Индекс МосБиржи;Индекс МосБиржи;1505,77;1498,08;1520,37;1485,83;45388217716;;;2;5239275939997,12;RUB;
SNDX;IMOEX;2012-04-10;Индекс МосБиржи;Индекс МосБиржи;1498,07;1510,51;1520,12;1497,64;45764031055;;;2;5212483835979,68;RUB;
SNDX;IMOEX;2012-04-09;Индекс МосБиржи;Индекс МосБиржи;1510,49;1497,19;1511,44;1477,46;35720636253;;;2;5255699394666,91;RUB;
SNDX;IMOEX;2012-04-06;Индекс МосБиржи;Индекс МосБиржи;1497,19;1525,1;1529,76;1494,64;27670625049;;;2;5209411873277,4;RUB;
SNDX;IMOEX;2012-04-05;Индекс МосБиржи;Индекс МосБиржи;1525,11;1512,88;1527,18;1495,48;49910211991;;;2;5306568502208,37;RUB;
SNDX;IMOEX;2012-04-04;Индекс МосБиржи;Индекс МосБиржи;1512,88;1550,04;1550,04;1506,63;49419655243;;;2;5264014449951,53;RUB;
SNDX;IMOEX;2012-04-03;Индекс МосБиржи;Индекс МосБиржи;1550,05;1521,9;1556,53;1521,74;50609788432;;;2;5393349984416,45;RUB;
SNDX;IMOEX;2012-04-02;Индекс МосБиржи;Индекс МосБиржи;1521,9;1517,33;1537,73;1508,3;39796798364;;;2;5295398179036,99;RUB;
SNDX;IMOEX;2012-03-30;Индекс МосБиржи;Индекс МосБиржи;1517,34;1494,86;1531,92;1493,87;57155909764;;;2;5279539278389,05;RUB;
SNDX;IMOEX;2012-03-29;Индекс МосБиржи;Индекс МосБиржи;1494,86;1520,37;1521,6;1486,93;52953545320;;;2;5201321495585,01;RUB;
SNDX;IMOEX;2012-03-28;Индекс МосБиржи;Индекс МосБиржи;1520,37;1554,38;1555,63;1518,4;54738661510;;;2;5290069091133,9;RUB;
SNDX;IMOEX;2012-03-27;Индекс МосБиржи;Индекс МосБиржи;1554,28;1565,12;1574,27;1549,27;43195737249;;;2;5408054942652,4;RUB;
SNDX;IMOEX;2012-03-26;Индекс МосБиржи;Индекс МосБиржи;1565,12;1540,39;1568,86;1539,52;43852687489;;;2;5445766586678,76;RUB;
SNDX;IMOEX;2012-03-23;Индекс МосБиржи;Индекс МосБиржи;1540,97;1529,51;1541,68;1518,24;41458394213;;;2;5361725766855,96;RUB;
SNDX;IMOEX;2012-03-22;Индекс МосБиржи;Индекс МосБиржи;1529,51;1551,76;1561,11;1525,6;49260259950;;;2;5321840227981,13;RUB;
SNDX;IMOEX;2012-03-21;Индекс МосБиржи;Индекс МосБиржи;1551,78;1558,65;1572,25;1542,09;53514555354;;;2;5399314700477,23;RUB;
SNDX;IMOEX;2012-03-20;Индекс МосБиржи;Индекс МосБиржи;1558,65;1586,41;1594,08;1556,22;49338926228;;;2;5423220198146,9;RUB;
SNDX;IMOEX;2012-03-19;Индекс МосБиржи;Индекс МосБиржи;1586,41;1618,99;1626,83;1579,14;53096495395;;;2;5519814217565,79;RUB;
SNDX;IMOEX;2012-03-16;Индекс МосБиржи;Индекс МосБиржи;1618,99;1626,63;1629,02;1608,69;47474157713;;;2;5633184371143,37;RUB;
SNDX;IMOEX;2012-03-15;Индекс МосБиржи;Индекс МосБиржи;1626,63;1631,15;1639,63;1618,32;82607431473;;;2;5659757402958,3;RUB;
SNDX;IMOEX;2012-03-14;Индекс МосБиржи;Индекс МосБиржи;1631,15;1611,88;1634,31;1611,46;70769066017;;;2;5675487300387,76;RUB;
SNDX;IMOEX;2012-03-13;Индекс МосБиржи;Индекс МосБиржи;1611,88;1604,26;1617,53;1602,21;42953542739;;;2;5608433889000,73;RUB;
SNDX;IMOEX;2012-03-12;Индекс МосБиржи;Индекс МосБиржи;1604,26;1606,37;1619,24;1592,53;52708606943;;;2;5581930761609,05;RUB;
SNDX;IMOEX;2012-03-11;Индекс МосБиржи;Индекс МосБиржи;1606,33;1572,74;1608,61;1569,74;18758906881;;;2;5589147093320,07;RUB;
SNDX;IMOEX;2012-03-07;Индекс МосБиржи;Индекс МосБиржи;1572,83;1562,19;1574,84;1551,07;47408963776;;;2;5472594810554,08;RUB;
