history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2011-08-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1985,78;1965,26;2011,62;1965,26;307389184,5768;;;2;213098763871,561;USD;999999,999999
RTSI;RTSI;2011-07-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1965,02;1985,18;1988,91;1949,81;390010190,9037;;;2;210870696545,876;USD;999999,999999
RTSI;RTSI;2011-07-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1985,11;1976,18;1986,45;1967,85;559388516,7525;;;2;213026735306,843;USD;999999,999999
RTSI;RTSI;2011-07-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1976,18;1987,83;2002,09;1976,08;364014454,7062;;;2;212068254973,291;USD;999999,999999
RTSI;RTSI;2011-07-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1987,79;1980,09;1999,73;1976,43;389051508,2103;;;2;213314130647,883;USD;999999,999999
RTSI;RTSI;2011-07-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1979,54;1977,62;1980,13;1957,37;415390002,857;;;2;212429115089,695;USD;999999,999999
RTSI;RTSI;2011-07-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1976,82;1972,5;1986,84;1970,41;545033283,6683;;;2;212137258235,925;USD;999999,999999
RTSI;RTSI;2011-07-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1972,5;1936,54;1972,5;1918,53;570124171,6204;;;2;211673033863,844;USD;999999,999999
RTSI;RTSI;2011-07-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1936,54;1926,23;1948,75;1924,41;351633494,8237;;;2;207814748836,687;USD;999999,999999
RTSI;RTSI;2011-07-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1926,23;1904,29;1928,37;1895,35;749322721,3523;;;2;206707860149,254;USD;999999,999999
RTSI;RTSI;2011-07-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1904,29;1938,54;1941,9;1903,43;572558458,6036;;;2;204353117190,586;USD;999999,999999
RTSI;RTSI;2011-07-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1938,54;1939,68;1946,18;1921,26;421804179,8252;;;2;208028375459,81;USD;999999,999999
