history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2021-02-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1448,31;1465,79;1471,89;1447,88;1203100736,5685406;0;0;2;233517736708,2455;USD;161234282,635200
RTSI;RTSI;2021-02-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1457,87;1467,41;1474,79;1456,26;1358345309,7443848;0;0;2;235058986480,84222;USD;161234282,635200
RTSI;RTSI;2021-02-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1462,22;1440,22;1462,8;1440,22;1073109914,9473255;0;0;2;235759813028,1808;USD;161234282,635200
RTSI;RTSI;2021-02-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1431,76;1417,26;1431,76;1417,26;1160829984,3070984;0;0;2;230848473530,38565;USD;161234282,635200
RTSI;RTSI;2021-02-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1402,71;1392,23;1413,31;1389,97;1164104841,3626537;0;0;2;226164534620,82962;USD;161234282,635200
RTSI;RTSI;2021-02-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1387;1385,32;1398,94;1377,16;1048888531,6711899;0;0;2;223632046023,42105;USD;161234282,635200
RTSI;RTSI;2021-02-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1398,99;1375,46;1406,62;1375,46;1301017291,9235;0;0;2;225565733031,02155;USD;161234282,635200
RTSI;RTSI;2021-02-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1363,96;1367,53;1378,97;1362,64;1131506379,2731235;0;0;2;219916329221,47415;USD;161234282,635200
RTSI;RTSI;2021-01-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1367,64;1383,16;1383,16;1361,73;1495178723,7944465;0;0;2;220511203590,9132;USD;161234282,635200
RTSI;RTSI;2021-01-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1384,64;1378,58;1391,02;1365,13;1207788996,743592;0;0;2;223251159762,33475;USD;161234282,635200
RTSI;RTSI;2021-01-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1393,02;1425,59;1431,21;1382,21;1396092644,0642211;0;0;2;224603037762,48636;USD;161234282,635200
RTSI;RTSI;2021-01-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1422,95;1415,26;1425,81;1403,34;1069219805,3760117;0;0;2;229428671911,35733;USD;161234282,635200
RTSI;RTSI;2021-01-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1412,02;1422,3;1444,44;1409,47;1407142684,166295;0;0;2;227665860029,3089;USD;161234282,635200
RTSI;RTSI;2021-01-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1418,29;1452,51;1452,51;1413,12;1473605119,1463878;0;0;2;228676532400,23535;USD;161234282,635200
RTSI;RTSI;2021-01-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1463,84;1491,79;1500,03;1452,8;1560267136,1254306;0;0;2;236021060739,3231;USD;161234282,635200
RTSI;RTSI;2021-01-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1486,9;1476,75;1494,97;1475,65;1031368068,2594228;0;0;2;239739555108,5987;USD;161234282,635200
RTSI;RTSI;2021-01-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1470,63;1480,8;1492,72;1466,66;1171611348,772525;0;0;2;237115743226,53168;USD;161234282,635200
RTSI;RTSI;2021-01-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1474,86;1472;1477,68;1456,73;1241568420,7753434;0;0;2;237798246791,4251;USD;161234282,635200
RTSI;RTSI;2021-01-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1474,28;1499,87;1507,06;1470,92;1423632930,8170812;0;0;2;237704349412,32913;USD;161234282,635200
RTSI;RTSI;2021-01-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1500,58;1478,41;1505,57;1466,25;1481079864,560776;0;0;2;241944209064,70065;USD;161234282,635200
RTSI;RTSI;2021-01-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1486,77;1494,18;1503,21;1473,29;1354795437,467445;0;0;2;239718888602,50992;USD;161234282,635200
RTSI;RTSI;2021-01-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1484,96;1474,34;1496,04;1467,96;1415058091,907202;0;0;2;239426052564,29346;USD;161234282,635200
RTSI;RTSI;2021-01-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1466,56;1467,85;1488,56;1450,55;1915551868,086005;0;0;2;236459648831,84186;USD;161234282,635200
RTSI;RTSI;2021-01-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1466,5;1444,76;1481,84;1444,76;1780068459,1928995;0;0;2;236449341800,5511;USD;161234282,635200
RTSI;RTSI;2021-01-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1436,71;1435,51;1446,21;1424,87;966753753,745155;0;0;2;231646218672,93225;USD;161234282,635200
RTSI;RTSI;2021-01-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1426,11;1410,89;1428,7;1386,56;965867942,8542744;0;0;2;229937215181,9834;USD;161234282,635200
RTSI;RTSI;2021-01-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1424,84;1399,64;1439,61;1398,82;902773552,0611578;0;0;2;229733253321,91034;USD;161234282,635200
RTSI;RTSI;2020-12-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1387,46;1393,96;1403,88;1382,88;900524023,5976588;0;0;2;223706030088,1816;USD;161234282,635200
RTSI;RTSI;2020-12-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1398,48;1396,52;1405,9;1395,08;841481052,3377587;0;0;2;225483540189,12775;USD;161234282,635200
RTSI;RTSI;2020-12-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1391,31;1379,64;1396,97;1379,64;706613330,3701745;0;0;2;224326642186,13007;USD;161234282,635200
RTSI;RTSI;2020-12-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1378,36;1379,84;1384,06;1376,62;318818108,57745516;0;0;2;222239644014,9808;USD;161234282,635200
RTSI;RTSI;2020-12-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1378,33;1365,31;1378,33;1358,22;686195611,5432861;0;0;2;222234756099,7089;USD;161234282,635200
RTSI;RTSI;2020-12-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1366,76;1338,2;1367,27;1335,76;873545984,9006361;0;0;2;220369046289,38773;USD;161234282,635200
RTSI;RTSI;2020-12-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1351,43;1339,03;1359,91;1327,89;1310550617,5128706;0;0;2;217896854604,97568;USD;161234282,635200
RTSI;RTSI;2020-12-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1335,93;1394,52;1394,52;1326,65;1807638073,0725207;0;0;2;215397735498,27463;USD;161234282,635200
RTSI;RTSI;2020-12-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1402,5;1418,81;1419,41;1386,34;1713114493,764696;0;0;2;226131571661,77707;USD;161234282,635200
RTSI;RTSI;2020-12-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1419,22;1407,69;1434,65;1407,69;1898374991,2358472;0;0;2;216683914016,88538;USD;152678585,651000
RTSI;RTSI;2020-12-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1400,05;1399,42;1407,86;1388,15;1283328324,0063064;0;0;2;213757024201,1646;USD;152678585,651000
RTSI;RTSI;2020-12-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1390,46;1387,15;1409,26;1382,95;1259769477,7175488;0;0;2;212292855675,16846;USD;152678585,651000
RTSI;RTSI;2020-12-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1398,12;1421,88;1432,73;1397,49;1699930609,7202792;0;0;2;213462390613,8004;USD;152678585,651000
RTSI;RTSI;2020-12-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1412,88;1404,78;1413,56;1395,77;1482318654,8476512;0;0;2;215716883166,90872;USD;152678585,651000
RTSI;RTSI;2020-12-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1404,68;1362,07;1404,68;1360,06;1410306748,7957249;0;0;2;214464036576,776;USD;152678585,651000
RTSI;RTSI;2020-12-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1372,47;1364,46;1382,75;1364,46;1304359264,5777292;0;0;2;209546660025,44476;USD;152678585,651000
RTSI;RTSI;2020-12-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1364,66;1362,32;1375,75;1354,75;1272506717,5491972;0;0;2;208355106270,59784;USD;152678585,651000
RTSI;RTSI;2020-12-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1368,86;1352,22;1368,86;1341,4;1194328160,1867278;0;0;2;208996252652,93845;USD;152678585,651000
RTSI;RTSI;2020-12-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1357,39;1342,06;1358,63;1342,06;1278466657,3218184;0;0;2;207244718591,9811;USD;152678585,651000
RTSI;RTSI;2020-12-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1339,41;1336,84;1339,41;1321,42;1279625162,289387;0;0;2;204499630054,36215;USD;152678585,651000
RTSI;RTSI;2020-12-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1335,44;1308,61;1335,44;1305,87;1261695134,2552598;0;0;2;203892428522,99695;USD;152678585,651000
RTSI;RTSI;2020-12-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1311,05;1283,56;1312,69;1283,56;1431210850,0657096;0;0;2;200169325443,89005;USD;152678585,651000
RTSI;RTSI;2020-11-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1281,97;1300,14;1300,14;1281;2241564094,8196387;0;0;2;195729217411,1868;USD;152678585,651000
RTSI;RTSI;2020-11-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1302,43;1303,47;1306,01;1291,17;1201919361,1154964;0;0;2;198852972643,88647;USD;152678585,651000
RTSI;RTSI;2020-11-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1307,14;1310,04;1316,57;1298,6;1140970010,6529248;0;0;2;199571538922,46872;USD;152678585,651000
RTSI;RTSI;2020-11-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1301,83;1298,86;1309,54;1287,36;1720667141,8567677;0;0;2;198761981070,193;USD;152678585,651000
RTSI;RTSI;2020-11-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1287,12;1270,34;1288,71;1265,88;1308805088,3462715;0;0;2;196515495732,60147;USD;152678585,651000
RTSI;RTSI;2020-11-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1256,81;1267,92;1287,36;1255,8;1160405125,5952497;0;0;2;191887301682,12448;USD;152678585,651000
RTSI;RTSI;2020-11-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1262,69;1263,65;1269,02;1256,21;760984897,1263266;0;0;2;192785993334,26907;USD;152678585,651000
RTSI;RTSI;2020-11-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1258,91;1270,45;1270,45;1251,53;1057793799,4411905;0;0;2;192208792280,8566;USD;152678585,651000
RTSI;RTSI;2020-11-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1276,75;1258,77;1282,07;1253,23;1140335319,6308193;0;0;2;194933125089,07526;USD;152678585,651000
RTSI;RTSI;2020-11-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1258,46;1274,26;1276,81;1246,71;1277739927,4423754;0;0;2;192139969894,61014;USD;152678585,651000
RTSI;RTSI;2020-11-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1268,61;1243,1;1268,61;1243,1;1477976809,7346752;0;0;2;193689887831,92816;USD;152678585,651000
RTSI;RTSI;2020-11-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1227,78;1224,72;1233,84;1218,52;1212842066,9830353;0;0;2;187455877295,19495;USD;152678585,651000
RTSI;RTSI;2020-11-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1238,45;1224,64;1239,78;1219,15;1453090570,0975866;0;0;2;189084200236,25366;USD;152678585,651000
RTSI;RTSI;2020-11-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1233,81;1236,14;1254,16;1231,47;2037761595,0217779;0;0;2;188375689707,50742;USD;152678585,651000
RTSI;RTSI;2020-11-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1232,87;1224,45;1240,78;1212,61;1960077498,8123221;0;0;2;188233372767,42245;USD;152678585,651000
RTSI;RTSI;2020-11-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1236,3;1187,84;1242,23;1187,32;2447796392,4434295;0;0;2;188756149702,70367;USD;152678585,651000
RTSI;RTSI;2020-11-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1178,28;1163,85;1178,28;1151,74;1036726987,7706633;0;0;2;179898824305,8493;USD;152678585,651000
RTSI;RTSI;2020-11-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1170,74;1121,24;1172,14;1121,24;1364650264,780411;0;0;2;178747638775,07388;USD;152678585,651000
RTSI;RTSI;2020-11-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1108,15;1077,2;1109,71;1077,2;988658378,2269702;0;0;2;169191514913,47113;USD;152678585,651000
RTSI;RTSI;2020-11-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1069,33;1062,09;1075,12;1039,51;903633451,9592149;0;0;2;163264269020,4097;USD;152678585,651000
RTSI;RTSI;2020-10-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1066,6;1078,02;1078,37;1056,02;861199823,0022235;0;0;2;162846819026,21722;USD;152678585,651000
RTSI;RTSI;2020-10-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1078,96;1075,4;1091,43;1062,7;939054797,3454773;0;0;2;164734513681,23972;USD;152678585,651000
RTSI;RTSI;2020-10-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1078,29;1124,23;1124,23;1070,68;1162434077,3848252;0;0;2;164632145571,30045;USD;152678585,651000
RTSI;RTSI;2020-10-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1131,36;1146,56;1151,66;1126,6;798592439,8953662;0;0;2;172734790814,81296;USD;152678585,651000
RTSI;RTSI;2020-10-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1152,33;1163,89;1165,58;1151,45;690987647,1762359;0;0;2;175936356630,6168;USD;152678585,651000
RTSI;RTSI;2020-10-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1164,06;1154,25;1166,51;1149,13;761260452,5094227;0;0;2;177726803137,46844;USD;152678585,651000
RTSI;RTSI;2020-10-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1155,24;1143,17;1155,39;1137,14;800546690,8392553;0;0;2;176380772836,9883;USD;152678585,651000
RTSI;RTSI;2020-10-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1143,42;1145,3;1151,94;1136,76;859322584,7744555;0;0;2;174575697616,5343;USD;152678585,651000
RTSI;RTSI;2020-10-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1140,69;1130,26;1143,82;1123,08;906844481,1952763;0;0;2;174159131360,1538;USD;152678585,651000
RTSI;RTSI;2020-10-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1135,12;1131,43;1137,07;1128,8;629404336,7525501;0;0;2;173309222811,3111;USD;152678585,651000
RTSI;RTSI;2020-10-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1132,8;1137,25;1138,87;1121,29;912781051,7469484;0;0;2;172953866179,9907;USD;152678585,651000
RTSI;RTSI;2020-10-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1132,29;1156,18;1156,44;1128,06;833294217,2290832;0;0;2;172875884969,7153;USD;152678585,651000
RTSI;RTSI;2020-10-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1160,3;1157,02;1164,67;1151,51;699829520,495133;0;0;2;177152548725,05917;USD;152678585,651000
RTSI;RTSI;2020-10-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1156,11;1162,18;1169,8;1151,18;737147462,104919;0;0;2;176513806624,17944;USD;152678585,651000
RTSI;RTSI;2020-10-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1162,91;1163,09;1169,93;1155,85;761594374,7050896;0;0;2;177550863453,1159;USD;152678585,651000
RTSI;RTSI;2020-10-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1164,34;1157,38;1165,69;1147,95;881133526,621;0;0;2;177770095359;USD;152678585,651000
RTSI;RTSI;2020-10-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1158,82;1150,83;1158,82;1148;721182283,24;0;0;2;176926419502;USD;152678585,651000
RTSI;RTSI;2020-10-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1143,95;1157,93;1164,69;1140,53;858915967,319;0;0;2;174656926058;USD;152678585,651000
RTSI;RTSI;2020-10-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1168,56;1163,75;1176,58;1157,41;936298146,937;0;0;2;178414174467;USD;152678585,651000
RTSI;RTSI;2020-10-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1157,86;1152,56;1160,54;1144,04;809952177,022;0;0;2;176779693256;USD;152678585,651000
RTSI;RTSI;2020-10-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1148,07;1157,17;1157,17;1134,01;1007358850,34;0;0;2;175285096869;USD;152678585,651000
RTSI;RTSI;2020-10-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1174,49;1181,29;1191,19;1170,72;955151899,599;0;0;2;179320040306;USD;152678585,651000
RTSI;RTSI;2020-09-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1178,51;1158,75;1182,96;1152,94;860108317,588;0;0;2;179932657910;USD;152678585,651000
RTSI;RTSI;2020-09-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1155,67;1169,84;1172,76;1138,95;1010506328,01;0;0;2;176445671457;USD;152678585,651000
RTSI;RTSI;2020-09-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1166,86;1171,87;1178,65;1163,08;882874460,088;0;0;2;178153930765;USD;152678585,651000
RTSI;RTSI;2020-09-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1164,68;1189,4;1193,58;1160,28;965660234,021;0;0;2;177821311703;USD;152678585,651000
RTSI;RTSI;2020-09-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1188,98;1187,48;1192,67;1172,94;1138578469,79;0;0;2;181532338546;USD;152678585,651000
RTSI;RTSI;2020-09-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1195,77;1214,29;1225,06;1195,77;1874980092,4;0;0;2;182567825164;USD;152678585,651000
RTSI;RTSI;2020-09-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1193,06;1189,37;1209,03;1182,04;954393233,583;0;0;2;182155187326;USD;152678585,651000
RTSI;RTSI;2020-09-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1181,24;1225,32;1225,99;1176,63;1111885847;0;0;2;180349720860;USD;152678585,651000
RTSI;RTSI;2020-09-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1228,64;1246,67;1250,13;1226,48;1160560254,82;0;0;2;187587250643;USD;152678585,651000


