<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MAIL-гдр;D;20200702;000000;1700.2;1792;1610;1666;310373;0
MAIL-гдр;D;20200703;000000;1689.6;1776.6;1665;1754.8;372162;0
MAIL-гдр;D;20200706;000000;1803.2;1918;1763.8;1852;915828;0
MAIL-гдр;D;20200707;000000;1899;1927.4;1852;1873;643213;0
MAIL-гдр;D;20200708;000000;1878;1889.8;1835;1838.6;136960;0
MAIL-гдр;D;20200709;000000;1840.2;1855;1782.6;1808;165076;0
MAIL-гдр;D;20200710;000000;1800.8;1838;1800.8;1811.8;88853;0
MAIL-гдр;D;20200713;000000;1822.4;1838;1818;1822;90655;0
MAIL-гдр;D;20200714;000000;1825;1825;1781.4;1786.6;95068;0
MAIL-гдр;D;20200715;000000;1808.8;1845;1790;1811.8;117695;0
MAIL-гдр;D;20200716;000000;1801.2;1822;1801.2;1821;43346;0
MAIL-гдр;D;20200717;000000;1825;1840;1808;1827;101131;0
MAIL-гдр;D;20200720;000000;1839;1841.6;1810.2;1822;103399;0
MAIL-гдр;D;20200721;000000;1830;1878.6;1830;1851.2;168983;0
MAIL-гдр;D;20200722;000000;1869;1874.2;1835.6;1863;181228;0
MAIL-гдр;D;20200723;000000;1886;1915.6;1876.6;1911;330717;0
MAIL-гдр;D;20200724;000000;1912;1915.8;1882.8;1906.2;205515;0
MAIL-гдр;D;20200727;000000;1915.8;1935;1905.2;1915;183177;0
MAIL-гдр;D;20200728;000000;1915.2;1990.6;1915;1985;168355;0
MAIL-гдр;D;20200729;000000;2020.6;2021.6;1985;2005.8;259649;0
MAIL-гдр;D;20200730;000000;2008.8;2026;1970.2;1990;119257;0
MAIL-гдр;D;20200731;000000;2000.2;2022;1960;1975;118051;0
MAIL-гдр;D;20200803;000000;2000;2051.2;1994.2;2028;271650;0
MAIL-гдр;D;20200804;000000;2049.8;2062;2016;2043;227249;0
MAIL-гдр;D;20200805;000000;2049.8;2054.8;2025;2031.4;175828;0
MAIL-гдр;D;20200806;000000;2035;2040;1980;1985;265893;0
MAIL-гдр;D;20200807;000000;2008.4;2010;1972;1986;164409;0
MAIL-гдр;D;20200810;000000;2000;2009;1970;1999.4;117029;0
MAIL-гдр;D;20200811;000000;2006;2008;1970;1973;286136;0
MAIL-гдр;D;20200812;000000;1983;1989.4;1957;1986.6;133007;0
MAIL-гдр;D;20200813;000000;1990;2055;1975;2044;396188;0
MAIL-гдр;D;20200814;000000;2015;2085;2015;2079.8;344851;0
MAIL-гдр;D;20200817;000000;2087;2145.8;2080;2106;553643;0
MAIL-гдр;D;20200818;000000;2090.4;2138.4;2060.2;2080;306193;0
MAIL-гдр;D;20200819;000000;2086.8;2195;2083;2163;584462;0
MAIL-гдр;D;20200820;000000;2160;2189.2;2110;2128.8;455795;0
MAIL-гдр;D;20200821;000000;2149;2224;2120.2;2150;538455;0
MAIL-гдр;D;20200824;000000;2172;2214.8;2172;2182.6;416282;0
MAIL-гдр;D;20200825;000000;2192;2344.8;2190;2314;752683;0
MAIL-гдр;D;20200826;000000;2350;2360;2282.2;2337.6;1115508;0
MAIL-гдр;D;20200827;000000;2348;2448;2304;2335.2;1023378;0
MAIL-гдр;D;20200828;000000;2324.4;2359;2262.8;2299;601833;0
MAIL-гдр;D;20200831;000000;2320;2364.8;2304.8;2350;365922;0
MAIL-гдр;D;20200901;000000;2365;2415.8;2341;2390;527498;0
MAIL-гдр;D;20200902;000000;2400;2418;2310.8;2316.8;447961;0
MAIL-гдр;D;20200903;000000;2329;2375;2230;2268;524599;0
MAIL-гдр;D;20200904;000000;2248;2310;2160;2200;686429;0
MAIL-гдр;D;20200907;000000;2220;2223.6;2169.8;2182.2;287882;0
MAIL-гдр;D;20200908;000000;2199.8;2205;2069.2;2110.2;574653;0
MAIL-гдр;D;20200909;000000;2101;2170;2072.4;2143;371536;0
MAIL-гдр;D;20200910;000000;2169;2181.2;2117;2138.2;281382;0
MAIL-гдр;D;20200911;000000;2145;2155.6;2120;2129;252722;0
MAIL-гдр;D;20200914;000000;2142;2247;2136.2;2210;460985;0
MAIL-гдр;D;20200915;000000;2230.6;2288;2211.6;2228.8;414981;0
MAIL-гдр;D;20200916;000000;2237;2259.8;2166;2177;490173;0
MAIL-гдр;D;20200917;000000;2160;2222;2134;2222;657972;0
MAIL-гдр;D;20200918;000000;2192;2224;2172.4;2220;348122;0
MAIL-гдр;D;20200921;000000;2222;2238;2170.2;2202.4;413398;0
MAIL-гдр;D;20200922;000000;2202.2;2357.6;2188;2307.2;875666;0
MAIL-гдр;D;20200923;000000;2350;2439.8;2206.2;2325.2;1850210;0
MAIL-гдр;D;20200924;000000;2299;2299;2179;2216.6;2223219;0
MAIL-гдр;D;20200925;000000;2227.8;2229.4;2163;2200;692742;0
MAIL-гдр;D;20200928;000000;2181.2;2240;2170;2210;797587;0
MAIL-гдр;D;20200929;000000;2218;2219.4;2135;2156.2;1012210;0
MAIL-гдр;D;20200930;000000;2143;2147.4;2115;2135;833951;0
MAIL-гдр;D;20201001;000000;2148.8;2174.8;2127;2156.4;409919;0
MAIL-гдр;D;20201002;000000;2148;2219;2117.2;2201.4;603032;0
MAIL-гдр;D;20201005;000000;2220;2224.8;2178.6;2198.2;404604;0
MAIL-гдр;D;20201006;000000;2198;2202;2152;2156.4;370070;0
MAIL-гдр;D;20201007;000000;2170;2175;2132.4;2152.6;250070;0
MAIL-гдр;D;20201008;000000;2168.2;2196.4;2157;2170.8;423649;0
MAIL-гдр;D;20201009;000000;2185.4;2185.4;2150.4;2167.8;276287;0
MAIL-гдр;D;20201012;000000;2175;2250;2170;2239;777301;0
MAIL-гдр;D;20201013;000000;2244.4;2283.4;2235.2;2268;757414;0
MAIL-гдр;D;20201014;000000;2270;2292;2241.6;2266.8;364874;0
MAIL-гдр;D;20201015;000000;2269;2270;2242.6;2256.8;300033;0
MAIL-гдр;D;20201016;000000;2260.4;2318.4;2250;2289;523519;0
MAIL-гдр;D;20201019;000000;2299;2324.8;2275.4;2295.6;386289;0
